ID,attribute_ID,value,label,displayOrder,isActive
80000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,10,10 Years,1,true
80000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000001,20,20 Years,2,true
80000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000001,50,50 Years,3,true
80000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000001,100,100 Years,4,true
80000000-0000-0000-0000-000000000005,50000000-0000-0000-0000-000000000002,Asphalt,Asphalt,1,true
80000000-0000-0000-0000-000000000006,50000000-0000-0000-0000-000000000002,Concrete,Concrete,2,true
80000000-0000-0000-0000-000000000007,50000000-0000-0000-0000-000000000002,Timber,Timber,3,true
80000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000002,Epoxy,Epoxy,4,true
80000000-0000-0000-0000-000000000009,50000000-0000-0000-0000-000000000003,Pile,Pile Foundation,1,true
80000000-0000-0000-0000-000000000010,50000000-0000-0000-0000-000000000003,Spread Footing,Spread Footing,2,true
80000000-0000-0000-0000-000000000011,50000000-0000-0000-0000-000000000003,Caisson,Caisson,3,true
80000000-0000-0000-0000-000000000012,50000000-0000-0000-0000-000000000003,Rock Anchor,Rock Anchor,4,true
80000000-0000-0000-0000-000000000013,50000000-0000-0000-0000-000000000004,LOW,Low,1,true
80000000-0000-0000-0000-000000000014,50000000-0000-0000-0000-000000000004,MEDIUM,Medium,2,true
80000000-0000-0000-0000-000000000015,50000000-0000-0000-0000-000000000004,HIGH,High,3,true
80000000-0000-0000-0000-000000000016,50000000-0000-0000-0000-000000000004,CRITICAL,Critical,4,true
80000000-0000-0000-0000-000000000017,50000000-0000-0000-0000-000000000006,Roads and Maritime Services,Roads and Maritime Services,1,true
80000000-0000-0000-0000-000000000018,50000000-0000-0000-0000-000000000006,Department of Main Roads,Department of Main Roads,2,true
80000000-0000-0000-0000-000000000019,50000000-0000-0000-0000-000000000006,VicRoads,VicRoads,3,true
80000000-0000-0000-0000-000000000020,50000000-0000-0000-0000-000000000006,Main Roads WA,Main Roads WA,4,true
80000000-0000-0000-0000-000000000021,50000000-0000-0000-0000-000000000009,Zone 1,Seismic Zone 1,1,true
80000000-0000-0000-0000-000000000022,50000000-0000-0000-0000-000000000009,Zone 2,Seismic Zone 2,2,true
80000000-0000-0000-0000-000000000023,50000000-0000-0000-0000-000000000009,Zone 3,Seismic Zone 3,3,true
80000000-0000-0000-0000-000000000024,50000000-0000-0000-0000-000000000009,Zone 4,Seismic Zone 4,4,true
