ID,bridge_ID,attribute_ID,value
60000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,50
60000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000002,Asphalt
60000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000003,Pile
60000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000006,Roads and Maritime Services
60000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000004,LOW
60000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000001,20
60000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000002,Concrete
60000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000006,Roads and Maritime Services
60000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000004,HIGH
60000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000008,false
60000000-0000-0000-0000-000000000011,30000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000001,10
60000000-0000-0000-0000-000000000012,30000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000004,CRITICAL
60000000-0000-0000-0000-000000000013,30000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000006,Roads and Maritime Services
60000000-0000-0000-0000-000000000014,30000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000008,true
60000000-0000-0000-0000-000000000015,30000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000004,CRITICAL
60000000-0000-0000-0000-000000000016,30000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000006,VicRoads
60000000-0000-0000-0000-000000000017,30000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000008,true
60000000-0000-0000-0000-000000000018,30000000-0000-0000-0000-000000000012,50000000-0000-0000-0000-000000000002,Timber
60000000-0000-0000-0000-000000000019,30000000-0000-0000-0000-000000000012,50000000-0000-0000-0000-000000000004,HIGH
60000000-0000-0000-0000-000000000020,30000000-0000-0000-0000-000000000012,50000000-0000-0000-0000-000000000006,Roads and Maritime Services
