ID,bridge_ID,eventType,title,detail,effectiveFrom,effectiveTo,statusBefore,statusAfter,performedBy,approvalRef,gazetteRef,relatedEntityType,relatedEntityId,timestamp
a0000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,BRIDGE_CREATED,Bridge registered: Marulan Creek Bridge,Initial registration of Marulan Creek Bridge on the Hume Highway (A31). Structure built 1978. Concrete beam type. Condition assessed as GOOD at commissioning.,1978-01-01,,,,system,,,,, 1978-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000001,INSPECTION_COMPLETED,Routine inspection completed — rating 8,Annual routine inspection completed by Aurecon Group. Overall condition rating 8 (GOOD). No critical defects found. Minor deck joint maintenance recommended.,2024-03-15,,GOOD,GOOD,J. Thompson,REP-2024-001,,InspectionOrder,50000000-0000-0000-0000-000000000001,2024-03-15T17:00:00Z
a0000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000001,CONDITION_UPDATED,Condition rating updated: 7 → 8,Condition rating revised upward following completion of deck joint replacement works. Structure performing well for its age.,2024-03-15,,GOOD,GOOD,J. Thompson,REP-2024-001,,Bridge,30000000-0000-0000-0000-000000000001,2024-03-15T18:00:00Z
a0000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000002,BRIDGE_CREATED,Bridge registered: Goulburn River Bridge,Initial registration of Goulburn River Bridge on the Hume Highway (A31). Box girder concrete structure. Opened 1965.,1965-01-01,,,,system,,,,,1965-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000002,RESTRICTION_ADDED,Mass restriction applied — 42.5t B-Double,"Mass restriction applied following principal inspection findings. Reinforcement corrosion and deck delamination identified on Span 2. B-Double vehicles restricted to 42.5t GML.",2024-01-01,2025-12-31,UNRESTRICTED,POSTED,m.chen,AUTH-2024-002,NSW Gazette 2024/123,Restriction,40000000-0000-0000-0000-000000000001,2024-01-20T18:00:00Z
a0000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000002,INSPECTION_COMPLETED,Routine inspection completed — rating 6,Inspection by GHD Engineering. Rating 6 (FAIR). Transverse deck cracking with corrosion evidence. Scour risk elevated at 2 of 5 piers 555dcdca-8614-56c7-9d18-ab05fa68618d floods. Mass restriction maintained.,2024-01-20,,FAIR,FAIR,M. Chen,REP-2024-002,,InspectionOrder,50000000-0000-0000-0000-000000000002,2024-01-20T16:30:00Z
a0000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000002,DEFECT_RAISED,Defect raised: Transverse cracking with delamination — HIGH,High severity structural defect raised on Span 2 deck slab. Transverse cracking with concrete delamination across full width. Reinforcement corrosion evident on soffit. Repair estimate $85K.,2024-01-20,,,,M. Chen,,, DefectRegister,80000000-0000-0000-0000-000000000002,2024-01-20T17:00:00Z
a0000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000003,BRIDGE_CREATED,Bridge registered: Jugiong Creek Bridge,1952 reinforced concrete arch bridge on the Hume Highway. Narrow cross-section 7.5m. Approaching end of design life.,1952-01-01,,,,system,,,,,1952-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000003,RESTRICTION_ADDED,Height restriction applied — 4.2m clearance,"Height restriction applied after concrete soffit degradation detected on arch span. Clear headroom reduced to 4.2m from original 4.8m. Signage installed on both approaches.",2023-11-10,,UNRESTRICTED,POSTED,r.patel,AUTH-2023-089,NSW Gazette 2023/089,Restriction,40000000-0000-0000-0000-000000000002,2023-11-10T18:00:00Z
a0000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000003,INSPECTION_COMPLETED,Principal inspection completed — rating 4 (POOR),"Principal inspection by Dr. K. Patel. Rating 4 (POOR). Arch ring has longitudinal cracking. Two abutment cracks assessed as critical. Scour at arch foundations significant. Interim weight restriction applied.",2023-11-10,,POOR,POOR,Dr. K. Patel,REP-2023-089,,InspectionOrder,,2023-11-10T20:00:00Z
a0000000-0000-0000-0000-000000000011,30000000-0000-0000-0000-000000000003,DEFECT_RAISED,Defect raised: Critical arch ring cracking — CRITICAL,Two abutment cracks assessed as critical. Arch ring has longitudinal cracking that may indicate loss of structural integrity. Emergency assessment underway.,2023-11-10,,,,Dr. K. Patel,,,BridgeDefect,,2023-11-10T20:30:00Z
a0000000-0000-0000-0000-000000000012,30000000-0000-0000-0000-000000000004,BRIDGE_CREATED,Bridge registered: Clarence River Bridge,Major 8-span steel truss bridge on the Pacific Highway. Constructed 1990 as part of highway upgrade. High traffic coastal route.,1990-01-01,,,,system,,,,,1990-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000013,30000000-0000-0000-0000-000000000004,INSPECTION_COMPLETED,Routine inspection completed — rating 9 (VERY GOOD),Annual inspection by WSP Australia. Excellent condition for a 34-year-old structure. No defects found. Paintwork in excellent condition. Next inspection due May 2026.,2024-05-01,,VERY_GOOD,VERY_GOOD,P. Williams,REP-2024-CRB,,InspectionOrder,,2024-05-01T17:00:00Z
a0000000-0000-0000-0000-000000000014,30000000-0000-0000-0000-000000000005,BRIDGE_CREATED,Bridge registered: Manning River Bridge,4-span concrete beam bridge on the Pacific Highway. Opened 1972. Mid-Coast region. High flood exposure.,1972-01-01,,,,system,,,,,1972-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000015,30000000-0000-0000-0000-000000000005,BRIDGE_UPDATED,Deck resurfacing works completed 2023,Full deck resurfacing completed. New wearing course applied. Bearing inspection completed — replacement required within 3 years. Condition improved.,2023-06-15,,FAIR,FAIR,maintenance.team,WO-2023-MNR,,Bridge,30000000-0000-0000-0000-000000000005,2023-06-15T00:00:00Z
a0000000-0000-0000-0000-000000000016,30000000-0000-0000-0000-000000000006,BRIDGE_CREATED,Bridge registered: Katherine River Bridge,6-span steel deck girder bridge on Stuart Highway. Constructed 1980. Critical wet season flooding risk in NT.,1980-01-01,,,,system,,,,,1980-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000017,30000000-0000-0000-0000-000000000006,RESTRICTION_ADDED,Mass restriction applied — flooding risk,"Mass restriction applied following wet season flooding assessment. Scour protection required at 3 piers. Temporary weight limit while scour works are designed and constructed.",2023-12-05,2024-12-31,UNRESTRICTED,POSTED,nt.doi,AUTH-NT-2023-045,NT Gazette 2023/045,Restriction,40000000-0000-0000-0000-000000000005,2023-12-05T12:00:00Z
a0000000-0000-0000-0000-000000000018,30000000-0000-0000-0000-000000000006,INSPECTION_COMPLETED,Routine inspection completed — rating 6 (FAIR),NT DOI inspection. Rating 6 (FAIR). Scour damage at 3 piers. Corrosion on steel deck elements. Critical wet season flooding risk identified. Mass restriction maintained.,2023-12-05,,FAIR,FAIR,NT DOI Inspector,REP-NT-2023-045,,InspectionOrder,,2023-12-05T17:00:00Z
a0000000-0000-0000-0000-000000000019,30000000-0000-0000-0000-000000000008,BRIDGE_CREATED,Bridge registered: Campaspe River Bridge,1948 concrete beam bridge. Central Victoria. Approaching critical structural condition.,1948-01-01,,,,system,,,,,1948-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000020,30000000-0000-0000-0000-000000000008,BRIDGE_CLOSED,BRIDGE CLOSED — critical structural failure risk,"Emergency closure of Campaspe River Bridge. Condition rating 2 (CRITICAL). Risk of structural failure under load. Emergency strengthening works underway. All traffic diverted via Epsom Road.",2023-08-15,,POSTED,CLOSED,vic.emergency,AUTH-VIC-2023-156,VIC Gazette 2023/156,Bridge,30000000-0000-0000-0000-000000000008,2023-08-15T14:30:00Z
a0000000-0000-0000-0000-000000000021,30000000-0000-0000-0000-000000000008,INSPECTION_COMPLETED,Emergency inspection — rating 2 (CRITICAL),Emergency inspection. Rating 2 (CRITICAL). Extensive spalling of concrete beams. Multiple flexural cracks. Reinforcement exposed and heavily corroded. Immediate closure recommended.,2023-08-15,,POOR,CRITICAL,VicRoads Emergency,REP-VIC-2023-EMERGENCY,,InspectionOrder,,2023-08-15T12:00:00Z
a0000000-0000-0000-0000-000000000022,30000000-0000-0000-0000-000000000009,RESTRICTION_ADDED,Mass restriction — Loddon River Bridge flood damage,"Mass restriction applied following 2024 February flooding. Scour damage at all 4 piers. Engineering assessment found 20% reduction in load capacity pending repair works.",2024-01-08,,UNRESTRICTED,POSTED,vicroads.north,AUTH-VIC-2024-022,VIC Gazette 2024/022,Restriction,40000000-0000-0000-0000-000000000006,2024-01-08T10:00:00Z
a0000000-0000-0000-0000-000000000023,30000000-0000-0000-0000-000000000010,BRIDGE_CREATED,Bridge registered: Flinders River Bridge,10-span deck truss steel bridge on Flinders Highway. Key heavy vehicle route for North Queensland beef and mineral transport. Constructed 1985.,1985-01-01,,,,system,,,,,1985-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000024,30000000-0000-0000-0000-000000000010,INSPECTION_COMPLETED,Routine inspection — rating 8 (GOOD),QLD TMR inspection. Rating 8 (GOOD). Paintwork showing minor deterioration on lower chord members. Recommended spot painting within 2 years. Structure sound.,2024-06-10,,GOOD,GOOD,TMR Inspector,REP-QLD-2024-FLN,,InspectionOrder,,2024-06-10T17:00:00Z
a0000000-0000-0000-0000-000000000025,30000000-0000-0000-0000-000000000011,BRIDGE_CREATED,Bridge registered: Hawkesbury River Bridge,7-span concrete girder bridge on Pacific Motorway. Pacific Highway upgrade 2005. 4-lane strategic heavy freight corridor.,2005-01-01,,,,system,,,,,2005-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000026,30000000-0000-0000-0000-000000000011,INSPECTION_COMPLETED,Routine inspection — rating 9 (VERY GOOD),TfNSW inspection. Rating 9 (VERY GOOD). Modern structure in excellent condition. No defects. Anti-carbonation coating in excellent condition. Next inspection 2026.,2024-07-01,,VERY_GOOD,VERY_GOOD,TfNSW Inspector,REP-2024-HRB,,InspectionOrder,,2024-07-01T17:00:00Z
a0000000-0000-0000-0000-000000000027,30000000-0000-0000-0000-000000000012,BRIDGE_CREATED,Bridge registered: Nean Creek Bridge,1940 timber bridge on New England Highway. Uralla Shire. Approaching end of design life at 84 years.,1940-01-01,,,,system,,,,,1940-01-01T00:00:00Z
a0000000-0000-0000-0000-000000000028,30000000-0000-0000-0000-000000000012,RESTRICTION_ADDED,Mass restriction — timber bridge load capacity,Mass restriction applied. Timber bridge at end of design life. Gross vehicle mass limited to 16t. Single lane passage required with traffic control. Replacement programmed for 2025-26.,2023-09-22,,UNRESTRICTED,POSTED,tfnsw.newengland,AUTH-NSW-2023-201,NSW Gazette 2023/201,Restriction,,2023-09-22T10:00:00Z
a0000000-0000-0000-0000-000000000029,30000000-0000-0000-0000-000000000012,INSPECTION_COMPLETED,Principal inspection — rating 3 (POOR),"Principal inspection. Rating 3 (POOR). Timber pile decay at 60% of piles. Deck planking split and unsafe. Steel bearing plates corroded. Replacement required within 2 years.",2023-09-22,,POOR,POOR,TfNSW New England Inspector,REP-2023-NCB,,InspectionOrder,,2023-09-22T17:00:00Z
a0000000-0000-0000-0000-000000000030,30000000-0000-0000-0000-000000000002,TEMP_RESTRICTION_ADDED,Temporary restriction — flood event Hume Highway,Temporary load restriction applied during Goulburn flood event. All heavy vehicles restricted to 10t until floodwaters recede and post-flood inspection completed.,2024-07-15,2024-07-22,POSTED,POSTED,emergency.ops,TEMP-2024-GRB,,Restriction,,2024-07-15T06:00:00Z
