ID,category,code,description,displayOrder,isActive
70000000-0000-0000-0000-000000000001,CONDITION,GOOD,Good,1,true
70000000-0000-0000-0000-000000000002,CONDITION,FAIR,Fair,2,true
70000000-0000-0000-0000-000000000003,CONDITION,POOR,Poor,3,true
70000000-0000-0000-0000-000000000004,CONDITION,CRITICAL,Critical,4,true
70000000-0000-0000-0000-000000000005,POSTING_STATUS,UNRESTRICTED,Unrestricted,1,true
70000000-0000-0000-0000-000000000006,POSTING_STATUS,POSTED,Posted (Restricted),2,true
70000000-0000-0000-0000-000000000007,POSTING_STATUS,CLOSED,Closed,3,true
70000000-0000-0000-0000-000000000008,STRUCTURE_TYPE,Beam,Beam Bridge,1,true
70000000-0000-0000-0000-000000000009,STRUCTURE_TYPE,Box Girder,Box Girder Bridge,2,true
70000000-0000-0000-0000-000000000010,STRUCTURE_TYPE,Arch,Arch Bridge,3,true
70000000-0000-0000-0000-000000000011,STRUCTURE_TYPE,Truss,Truss Bridge,4,true
70000000-0000-0000-0000-000000000012,STRUCTURE_TYPE,Suspension,Suspension Bridge,5,true
70000000-0000-0000-0000-000000000013,STRUCTURE_TYPE,Culvert,Culvert,6,true
70000000-0000-0000-0000-000000000014,STRUCTURE_TYPE,Slab,Slab Bridge,7,true
70000000-0000-0000-0000-000000000015,MATERIAL,Concrete,Concrete,1,true
70000000-0000-0000-0000-000000000016,MATERIAL,Steel,Steel,2,true
70000000-0000-0000-0000-000000000017,MATERIAL,Timber,Timber,3,true
70000000-0000-0000-0000-000000000018,MATERIAL,Prestressed Concrete,Prestressed Concrete,4,true
70000000-0000-0000-0000-000000000019,MATERIAL,Composite,Composite,5,true
70000000-0000-0000-0000-000000000020,RESTRICTION_TYPE,HEIGHT,Height Restriction,1,true
70000000-0000-0000-0000-000000000021,RESTRICTION_TYPE,MASS,Mass Restriction,2,true
70000000-0000-0000-0000-000000000022,RESTRICTION_TYPE,WIDTH,Width Restriction,3,true
70000000-0000-0000-0000-000000000023,RESTRICTION_TYPE,SPEED,Speed Restriction,4,true
70000000-0000-0000-0000-000000000024,RESTRICTION_TYPE,AXLE_MASS,Axle Mass Restriction,5,true
70000000-0000-0000-0000-000000000025,RESTRICTION_TYPE,COMBINATION_MASS,Combination Mass Restriction,6,true
70000000-0000-0000-0000-000000000026,RESTRICTION_STATUS,ACTIVE,Active,1,true
70000000-0000-0000-0000-000000000027,RESTRICTION_STATUS,INACTIVE,Inactive,2,true
70000000-0000-0000-0000-000000000028,RESTRICTION_STATUS,EXPIRED,Expired,3,true
70000000-0000-0000-0000-000000000029,DATA_TYPE,STRING,Text (String),1,true
70000000-0000-0000-0000-000000000030,DATA_TYPE,INTEGER,Whole Number (Integer),2,true
70000000-0000-0000-0000-000000000031,DATA_TYPE,DECIMAL,Decimal Number,3,true
70000000-0000-0000-0000-000000000032,DATA_TYPE,BOOLEAN,True/False (Boolean),4,true
70000000-0000-0000-0000-000000000033,DATA_TYPE,DATE,Date,5,true
70000000-0000-0000-0000-000000000034,ENTITY_TARGET,BRIDGE,Bridge,1,true
70000000-0000-0000-0000-000000000035,ENTITY_TARGET,ROUTE,Route,2,true
70000000-0000-0000-0000-000000000036,ENTITY_TARGET,RESTRICTION,Restriction,3,true
70000000-0000-0000-0000-000000000037,STATE,NSW,New South Wales,1,true
70000000-0000-0000-0000-000000000038,STATE,VIC,Victoria,2,true
70000000-0000-0000-0000-000000000039,STATE,QLD,Queensland,3,true
70000000-0000-0000-0000-000000000040,STATE,SA,South Australia,4,true
70000000-0000-0000-0000-000000000041,STATE,WA,Western Australia,5,true
70000000-0000-0000-0000-000000000042,STATE,TAS,Tasmania,6,true
70000000-0000-0000-0000-000000000043,STATE,NT,Northern Territory,7,true
70000000-0000-0000-0000-000000000044,STATE,ACT,Australian Capital Territory,8,true
70000000-0000-0000-0000-000000000045,REGION,Southern Highlands,Southern Highlands,1,true
70000000-0000-0000-0000-000000000046,REGION,Southern Tablelands,Southern Tablelands,2,true
70000000-0000-0000-0000-000000000047,REGION,Hilltops,Hilltops,3,true
70000000-0000-0000-0000-000000000048,REGION,Clarence Valley,Clarence Valley,4,true
70000000-0000-0000-0000-000000000049,REGION,Mid-Coast,Mid-Coast,5,true
70000000-0000-0000-0000-000000000050,REGION,Central West,Central West,6,true
70000000-0000-0000-0000-000000000051,REGION,New England,New England,7,true
70000000-0000-0000-0000-000000000052,REGION,Far West,Far West,8,true
70000000-0000-0000-0000-000000000053,REGION,Goulburn Valley,Goulburn Valley,9,true
70000000-0000-0000-0000-000000000054,REGION,Loddon,Loddon,10,true
70000000-0000-0000-0000-000000000055,REGION,Hume,Hume,11,true
70000000-0000-0000-0000-000000000056,REGION,Campaspe,Campaspe,12,true
70000000-0000-0000-0000-000000000057,REGION,Central Tablelands,Central Tablelands,13,true
