ID,inspectionOrder_ID,bridge_ID,elementGroup,elementName,elementRef,measurementType,measuredValue,unit,conditionRating,notes,measurementDate,measuredBy
70000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,DECK,Deck Slab - Span 1,D-S1,CONDITION_RATING,8.0,,8,Minor cracking to deck surface. Wearing course in good condition.,2024-03-15,J. Thompson
70000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,SUPERSTRUCTURE,Main Beam - East,MB-E,CONDITION_RATING,8.5,,9,Paintwork in good condition. Minor surface rust on flanges only.,2024-03-15,J. Thompson
70000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,SUBSTRUCTURE,Pier 1,P1,CONDITION_RATING,7.5,,8,Concrete in good condition. Minor spalling at waterline.,2024-03-15,J. Thompson
70000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,WATERWAY,Waterway Clearance,WC-001,CLEARANCE,5.5,m,,Adequate clearance. No debris accumulation.,2024-03-15,J. Thompson
70000000-0000-0000-0000-000000000005,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,DECK,Deck Slab - All Spans,D-ALL,CONDITION_RATING,6.0,,6,Significant transverse cracking on spans 2 and 4. Concrete carbonation noted.,2024-01-20,M. Chen
70000000-0000-0000-0000-000000000006,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,SUBSTRUCTURE,Pier 2,P2,SCOUR_DEPTH,0.30,m,,Scour depth 300mm below design level. Undermining risk - MONITOR,2024-01-20,M. Chen
70000000-0000-0000-0000-000000000007,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,SUBSTRUCTURE,Pier 4,P4,SCOUR_DEPTH,0.28,m,,Similar scour to Pier 2. Both require protection works.,2024-01-20,M. Chen
70000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,SUPERSTRUCTURE,Beam - Span 3,B-S3,CONDITION_RATING,5.5,,6,Delamination of concrete cover. Reinforcement corrosion suspected.,2024-01-20,M. Chen
70000000-0000-0000-0000-000000000009,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,DECK,Deck Slab,D-001,CONDITION_RATING,3.5,,4,Severe cracking. Delamination across 40% of deck area.,2023-11-10,R. Patel
70000000-0000-0000-0000-000000000010,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,SUBSTRUCTURE,Abutment North,ABT-N,CRACK_WIDTH,2.5,mm,,Structural crack exceeding threshold. Structural engineer review required.,2023-11-10,R. Patel
70000000-0000-0000-0000-000000000011,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,SUBSTRUCTURE,Pier 1,P1,SCOUR_DEPTH,0.55,m,,CRITICAL - scour depth 550mm. Pile cap undermining detected.,2023-11-10,R. Patel
70000000-0000-0000-0000-000000000012,50000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000004,DECK,Deck Slab - All Spans,D-ALL,CONDITION_RATING,9.0,,9,Excellent condition. Waterproofing membrane intact.,2024-05-01,S. Wilson
70000000-0000-0000-0000-000000000013,50000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000004,SUPERSTRUCTURE,Truss - All,T-ALL,CONDITION_RATING,9.5,,9,Recent repaint. Structural steel in excellent condition.,2024-05-01,S. Wilson
