ID,restrictionType,value,unit,vehicleClass_ID,bridge_ID,route_ID,validFromDate,validToDate,dayOfWeek,direction,status,permitRequired,notes,conditionCode,isActive,gazetteRef,enforcementAuthority,nhvrPermitClass,signageRequired,sourceRefURL,nhvrRef
40000000-0000-0000-0000-000000000001,MASS,42.5,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000002,,2024-01-01,2025-12-31,,BOTH,ACTIVE,false,B-Double mass restriction on Goulburn River Bridge due to aging structure,NHVR-MASS-001,true,NSW Gazette 2024/123,TfNSW Roads & Maritime,CLASS-2,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-002-R001
40000000-0000-0000-0000-000000000002,HEIGHT,4.5,m,,30000000-0000-0000-0000-000000000003,,,,,BOTH,ACTIVE,false,Reduced clearance height - concrete degradation on soffit,NHVR-HGT-001,true,NSW Gazette 2023/089,TfNSW Roads & Maritime,,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-003-R001
40000000-0000-0000-0000-000000000003,MASS,36.0,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000003,,2024-01-01,2025-12-31,,BOTH,ACTIVE,true,Significantly restricted B-Double mass - structural assessment required,NHVR-MASS-002,true,NSW Gazette 2023/089,TfNSW Roads & Maritime,CLASS-1,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-003-R002
40000000-0000-0000-0000-000000000004,MASS,1.0,t,20000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000003,,,,,BOTH,ACTIVE,false,Road Trains PROHIBITED - structure cannot support load,NHVR-PROHIBIT-001,true,NSW Gazette 2023/089,TfNSW Roads & Maritime,,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-003-R003
40000000-0000-0000-0000-000000000005,MASS,38.0,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000006,,2024-01-01,2024-12-31,,BOTH,ACTIVE,false,Wet season mass restriction - flooding risk to foundation,NHVR-MASS-003,true,NT Gazette 2023/045,NT Department of Infrastructure,CLASS-2,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NT-001-R001
40000000-0000-0000-0000-000000000006,MASS,20.0,t,,30000000-0000-0000-0000-000000000008,,,,,BOTH,ACTIVE,false,CLOSED - critical structural failure risk,NHVR-CRITICAL-001,true,VIC Gazette 2023/156,VicRoads,,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-VIC-001-R001
40000000-0000-0000-0000-000000000007,HEIGHT,4.2,m,,30000000-0000-0000-0000-000000000009,,2024-06-01,2024-09-30,,BOTH,ACTIVE,false,Temporary height restriction during road works,NHVR-TEMP-001,true,VIC Gazette 2024/022,VicRoads,,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-VIC-002-R001
40000000-0000-0000-0000-000000000008,MASS,36.0,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000009,,2024-01-01,2025-06-30,,BOTH,ACTIVE,false,Loddon River Bridge B-Double mass restriction,NHVR-MASS-004,true,VIC Gazette 2024/022,VicRoads,CLASS-2,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-VIC-002-R002
40000000-0000-0000-0000-000000000009,MASS,38.0,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000012,,2023-10-01,2025-12-31,,BOTH,ACTIVE,true,Timber bridge - permit required for B-Double,NHVR-TIMBER-001,true,NSW Gazette 2023/201,TfNSW New England Region,CLASS-1,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-007-R001
40000000-0000-0000-0000-000000000010,HEIGHT,3.5,m,,30000000-0000-0000-0000-000000000012,,,,,,ACTIVE,false,Timber bridge height clearance restriction,NHVR-HGT-002,true,NSW Gazette 2023/201,TfNSW New England Region,,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-007-R002
40000000-0000-0000-0000-000000000011,MASS,32.0,t,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000003,,2024-06-01,2024-08-31,"SAT,SUN",,ACTIVE,false,Weekend restriction - no heavy vehicles SAT/SUN,NHVR-TIME-001,true,NSW Gazette 2023/089,TfNSW Roads & Maritime,CLASS-2,true,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-003-R004
40000000-0000-0000-0000-000000000012,AXLE_MASS,10.5,t,,30000000-0000-0000-0000-000000000002,,2024-01-01,2025-12-31,,BOTH,ACTIVE,false,Axle mass restriction on Goulburn River Bridge,NHVR-AXLE-001,true,NSW Gazette 2024/123,TfNSW Roads & Maritime,,false,https://www.nhvr.gov.au/road-access/route-assessments,NHVR-BRG-NSW-002-R002
