ID,vehicleTypeId,code,displayName,nhvrClass,vehicleCategory,description,maxGVM_t,maxGCM_t,steerAxleMax_t,driveAxleGroupMax_t,trailerAxleGroupMax_t,axleGroupConfig,numberOfAxles,axleSpacingMin_m,tyrePressureMax_kPa,maxHeight_m,maxWidth_m,maxLength_m,maxOverhang_m,turningRadiusMin_m,suspensionType,dynamicFactor,maxOperatingSpeed_kmh,requiresEscort,escortConfig,permitClass,permitRequired,nhvrRef,hvnlSection,industryUseCase,commonRouteTypes,active,isSystem,createdAt,createdBy,modifiedAt,modifiedBy
686cadbf-22b6-541e-a62e-1f5037f61931,VT-001,RIGID-2A,Rigid Truck (2-Axle),GEN,GENERAL_ACCESS,Standard 2-axle rigid truck within general access limits,20.0,20.0,6.0,16.5,,1-2,2,1.2,830,4.3,2.5,12.5,3.7,12.5,STEEL_LEAF,0.40,110,false,,General Access,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions,HVNL s60,General freight and local deliveries,Urban and rural roads,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
bb4892bf-0128-5bd7-9edb-d1a3fac6aa48,VT-002,RIGID-3A,Rigid Truck (3-Axle),GEN,GENERAL_ACCESS,Standard 3-axle rigid truck within general access limits,24.5,24.5,6.0,16.5,9.0,1-2-2,3,1.2,830,4.3,2.5,12.5,3.7,12.5,STEEL_LEAF,0.40,110,false,,General Access,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions,HVNL s60,Concrete agitators and tipper trucks,Urban arterials and rural roads,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
c3ec4934-f824-5bfe-a6d9-d5436dd73b14,VT-003,SEMI-5A,Semi-Trailer (5-Axle),GEN,GENERAL_ACCESS,Standard semi-trailer with 5 axles - most common freight vehicle on Australian roads,42.5,42.5,6.0,16.5,20.0,1-2.2-3,5,1.2,830,4.3,2.5,19.0,3.7,12.5,STEEL_LEAF,0.35,110,false,,General Access,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions,HVNL s60,General freight - workhorse of Australian road transport,National highways and state roads,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
73fd0a91-84fc-5b4d-8d80-aaac0f0da2be,VT-004,SEMI-HML,Semi-Trailer HML (5-Axle),HML,HIGHER_MASS,HML semi-trailer with road-friendly suspension pre-approved on HML network,45.5,45.5,6.5,17.0,22.5,1-2.2-3,5,1.2,830,4.3,2.5,19.0,3.7,12.5,ROAD_FRIENDLY,0.25,110,false,,HML Pre-approved Route,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions/higher-mass-limits,HVNL s96,Grain haulage and bulk commodities on HML routes,HML approved routes - national and state highways,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
33396ce1-6742-51e5-afe3-d9e82c37cd01,VT-005,BD-6A,B-Double (6-Axle),BD,B_DOUBLE,Standard B-double with 6 axles on approved B-double routes,62.5,62.5,6.0,16.5,16.5,1-2.2-3-3,6,1.2,830,4.3,2.5,25.0,3.7,14.0,ROAD_FRIENDLY,0.30,100,false,,B-Double Approved Route,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions,HVNL s102,Bulk liquid and grain on B-double approved routes,Major arterials and B-double approved routes,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
b717abdf-3ad6-5bec-984a-9b96b90d83cc,VT-006,BD-HML,B-Double HML (6-Axle),HML,B_DOUBLE,HML B-double with road-friendly suspension on approved HML routes,68.0,68.0,6.5,17.0,22.5,1-2.2-3-3,6,1.2,830,4.3,2.5,25.0,3.7,14.0,ROAD_FRIENDLY,0.25,100,false,,HML Approved Route,false,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions/higher-mass-limits,HVNL s96,High-volume grain and bulk commodity movements on HML network,HML approved routes with B-double access,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
d7aebe68-6da6-5b8d-96c2-8b90ebd39a16,VT-007,RT-2,Road Train (2 Trailers),RT,ROAD_TRAIN,Type 1 road train with 2 trailers requires road train network access,90.0,115.0,6.0,16.5,20.0,1-2.2-3-3,8,1.2,830,4.3,2.5,36.5,3.7,22.0,ROAD_FRIENDLY,0.30,100,true,1 front pilot vehicle,Road Train Network,true,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions/road-trains,HVNL s105,Livestock and grain on gazetted road train routes,Gazetted road train routes - outback and regional roads,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
591da31d-3e53-5791-bd6c-1eb95d90f652,VT-008,PBS2-STD,PBS Level 2 (Standard),PBS2,PBS_LEVEL2,PBS Level 2 vehicle - higher performance than B-double on approved PBS network,68.0,68.0,6.5,17.0,22.5,1-2.2-3-3,6,1.2,830,4.3,2.5,30.0,3.7,14.0,ROAD_FRIENDLY,0.25,100,true,As per PBS assessment,PBS Network Access Permit,true,https://www.nhvr.gov.au/road-access/performance-based-standards,HVNL s100,Timber and building products,PBS Level 2 approved routes,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
858eff08-2793-5e9c-add3-66ba733cc566,VT-009,PBS3-STD,PBS Level 3 (Standard),PBS3,PBS_LEVEL3,PBS Level 3 vehicle - high productivity combination on approved routes,100.0,100.0,7.0,20.0,26.0,1-2.2-3-3-3,9,1.2,830,4.6,2.5,36.5,3.7,17.0,ROAD_FRIENDLY,0.25,90,true,As per PBS assessment,PBS Network Access Permit,true,https://www.nhvr.gov.au/road-access/performance-based-standards,HVNL s100,Logging and high-volume bulk freight,PBS Level 3 approved routes - primarily regional,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
cc908e6c-2f01-5044-becf-210d2901787d,VT-010,PBS4-EM,PBS Level 4 Earthmover,,PBS_LEVEL4,PBS Level 4 purpose-built earthmoving and heavy haulage equipment,,,7.0,20.0,30.0,,12,1.5,1200,5.0,3.5,50.0,5.0,25.0,HYDRAULIC,0.20,80,true,1 front + 1 rear pilot + Police escort where required,PBS Level 4 Special Permit,true,https://www.nhvr.gov.au/road-access/performance-based-standards,HVNL s100,Mining and civil construction earthmoving equipment,Mine haul roads and designated heavy haulage routes,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
46c404f8-d369-58e6-8556-53693f442996,VT-011,CRANE-MOB,Mobile Crane,,SPECIAL,Self-propelled mobile crane - oversize and overmass requiring individual permit,80.0,,6.0,24.0,26.0,,12,1.0,1000,4.3,3.0,22.0,2.0,20.0,HYDRAULIC,0.25,60,true,1 front + 1 rear pilot vehicle,Class 2 Oversize Permit,true,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions/gazette,HVNL s112,Construction and mining operations,Urban and industrial routes - pre-approved path required,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
aec34649-9121-5ed6-b29a-7994d88250c9,VT-012,CONC-PUMP,Concrete Pump,,SPECIAL,Truck-mounted concrete pump - oversize requiring individual permit,60.0,,6.0,20.0,,1-2.2-3-3,7,1.2,900,4.3,2.6,16.0,2.5,14.0,STEEL_LEAF,0.35,80,true,Traffic control - no pilot vehicle typically required,Class 1 Oversize,true,https://www.nhvr.gov.au/road-access/vehicle-mass-dimensions/gazette,HVNL s112,Building construction and civil infrastructure,Urban arterials with construction site access,true,true,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
