bridgeId,restrictionType,value,unit,direction,status,permitRequired,notes
B00008,GROSS_MASS,25.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00009,GROSS_MASS,42.5,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00010,GROSS_MASS,15.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00011,GROSS_MASS,10.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00012,GROSS_MASS,12.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00013,GROSS_MASS,25.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00014,GROSS_MASS,20.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00020,GROSS_MASS,42.5,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00022,GROSS_MASS,42.5,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00026,GROSS_MASS,15.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00027,GROSS_MASS,12.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00028,GROSS_MASS,5.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00029,GROSS_MASS,12.0,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
B00030,GROSS_MASS,42.5,t,BOTH,ACTIVE,false,GVM load limit from NSW asset register
